8308874,A4YS37005F19AA8,OK,,1,2023-08-19 8:00:00 PM
8308875,A4YS37005F19AB9,OK,,2,2023-08-19 8:00:00 PM
8308876,A4YS37005H02AD9,OK,,3,2023-08-19 8:00:00 PM
8308877,A4YS37002R19BB3,OK,,4,2023-08-19 8:00:00 PM
8308878,A4YS37004E23ACC,OK,,5,2023-08-19 8:00:00 PM
8308879,A4YS37005F19ACA,OK,,6,2023-08-19 8:00:00 PM
8308880,A4YS37004E23AC2,OK,,7,2023-08-19 8:00:00 PM
8308881,A4YS37004E23ABB,OK,,8,2023-08-19 8:00:00 PM
8308882,A4YS37005F19ACK,OK,,1,2023-08-19 8:00:00 PM
8308883,A4YS37004E23AAB,OK,,2,2023-08-19 8:00:00 PM
8308884,A4YS37005F19ACJ,OK,,3,2023-08-19 8:00:00 PM
8308885,A4YS37004E23AA1,OK,,4,2023-08-19 8:00:00 PM
8308886,A4YS37004E23AED,OK,,5,2023-08-19 8:00:00 PM
8308887,A4YS37004E23ADE,OK,,6,2023-08-19 8:00:00 PM
8308888,A4YS37004E23AEE,OK,,7,2023-08-19 8:00:00 PM
8308889,A4YS37004E23ADC,OK,,8,2023-08-19 8:00:00 PM
8308890,A4YS37004E23AE3,OK,,1,2023-08-19 8:00:00 PM
8308891,A4YS37004E23AD4,OK,,2,2023-08-19 8:00:00 PM
8308892,A4YS37004E23AE4,OK,,3,2023-08-19 8:00:00 PM
8308893,A4YS37004E23AD2,OK,,4,2023-08-19 8:00:00 PM
8308894,A4YS37004E23AC8,OK,,5,2023-08-19 8:01:00 PM
8308895,A4YS37004E23AA5,OK,,6,2023-08-19 8:01:00 PM
8308896,A4YS37004E23ABH,OK,,7,2023-08-19 8:01:00 PM
8308897,A4YS37004E23AD3,OK,,8,2023-08-19 8:01:00 PM
8308898,A4YS37004E23AC6,OK,,1,2023-08-19 8:01:00 PM
8308899,A4YS37004E23AD6,OK,,2,2023-08-19 8:01:00 PM
8308900,A4YS37004E23AE5,OK,,3,2023-08-19 8:01:00 PM
8308901,A4YS37004E23AA6,OK,,4,2023-08-19 8:01:00 PM
8308902,A4YS37004E20ADC,OK,,5,2023-08-19 8:01:00 PM
8308903,A4YS37004E20ADD,OK,,6,2023-08-19 8:01:00 PM
8308904,A4YS37004E23AE6,OK,,7,2023-08-19 8:01:00 PM
8308905,A4YS37004E23AB8,OK,,8,2023-08-19 8:01:00 PM
8308906,A4YS37004E20AD6,OK,,1,2023-08-19 8:01:00 PM
8308907,A4YS37004E20AA6,OK,,2,2023-08-19 8:01:00 PM
